WeatherTime,t-000h,t-006h,t-012h,t-018h,t-024h,t-030h,t-036h,t-042h,t-048h,t-054h,t-060h,t-066h,t-072h,t-078h,t-084h,t-090h,t-096h,t-102h,t-108h,t-114h,t-120h,t-126h,t-132h,t-138h,t-144h,t-150h,t-156h,t-162h,t-168h,t-174h,t-180h,t-186h,t-192h,t-198h
2018-03-22T00:00:00,12.346656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-22T06:00:00,,6.173328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-22T12:00:00,7.71666,,7.71666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-22T18:00:00,,10.28888,,10.28888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-23T00:00:00,,,4.629996,,4.629996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-23T06:00:00,,,,2.57222,,2.57222,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-23T12:00:00,3.086664,,,,3.086664,,3.086664,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-23T18:00:00,3.086664,5.658884,,,,2.57222,,5.658884,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-24T00:00:00,0.514444,2.057776,2.057776,,,,1.543332,,2.57222,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-24T06:00:00,,1.543332,1.543332,1.543332,,,,2.057776,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-24T12:00:00,5.658884,,5.658884,5.658884,5.658884,,,,6.687772,,7.71666,,,,,,,,,,,,,,,,,,,,,,,
2018-03-24T18:00:00,,9.259992,,7.71666,7.71666,7.71666,,,,7.202216,,10.28888,,,,,,,,,,,,,,,,,,,,,,
2018-03-25T00:00:00,6.687772,,8.231104,,5.658884,5.658884,5.658884,,,,4.115552,,5.658884,,,,,,,,,,,,,,,,,,,,,
2018-03-25T06:00:00,,6.687772,,7.202216,,5.14444,5.14444,5.14444,,,,3.601108,,4.115552,,,,,,,,,,,,,,,,,,,,
2018-03-25T12:00:00,7.71666,,7.202216,,7.202216,,5.658884,5.658884,5.658884,,,,5.658884,,6.173328,,,,,,,,,,,,,,,,,,,
2018-03-25T18:00:00,6.687772,,,,,7.71666,,7.71666,7.71666,7.71666,,,,6.687772,,7.202216,,,,,,,,,,,,,,,,,,
2018-03-26T00:00:00,,7.71666,8.745548,,7.71666,,9.259992,,7.71666,8.745548,8.745548,,,,,,7.71666,,,,,,,,,,,,,,,,,
2018-03-26T06:00:00,,,7.202216,9.259992,,8.231104,,9.774436,,8.231104,8.745548,8.745548,,,,,,,,,,,,,,,,,,,,,,
2018-03-26T12:00:00,9.259992,,,10.28888,10.28888,,7.71666,,8.745548,,6.687772,8.231104,8.231104,,,,6.173328,,7.202216,,,,,,,,,,,,,,,
2018-03-26T18:00:00,,8.231104,,,7.202216,7.202216,,6.173328,,7.202216,,6.173328,6.687772,6.687772,,,,5.658884,,6.173328,,,,,,,,,,,,,,
2018-03-27T00:00:00,4.629996,,4.629996,,,6.173328,6.173328,,4.629996,,6.173328,,4.629996,,,,,,4.115552,,4.629996,,,,,,,,,,,,,
2018-03-27T06:00:00,4.629996,4.629996,,4.629996,,,6.173328,6.173328,,5.658884,,6.173328,,4.629996,5.658884,5.658884,,,,3.601108,,4.115552,,,,,,,,,,,,
2018-03-27T12:00:00,4.629996,4.115552,4.115552,,4.115552,,,5.658884,5.658884,,6.173328,,5.658884,,4.115552,5.14444,5.14444,,,,3.086664,,,,,,,,,,,,,
2018-03-27T18:00:00,,3.601108,3.601108,3.601108,,3.601108,,,4.115552,4.115552,,4.629996,,4.629996,,3.086664,4.115552,4.115552,,,,2.57222,,3.086664,,,,,,,,,,
2018-03-28T00:00:00,2.57222,,3.086664,2.57222,2.057776,,2.057776,,,3.086664,3.086664,,2.57222,,3.086664,,3.086664,2.57222,2.57222,,,,1.543332,,,,,,,,,,,
2018-03-28T06:00:00,,1.543332,,1.543332,2.057776,2.57222,,2.57222,,,,,,,,2.57222,,2.057776,2.57222,2.57222,,,,1.543332,,1.543332,,,,,,,,
2018-03-28T12:00:00,6.687772,,6.173328,,6.173328,6.173328,7.202216,,7.202216,,,6.687772,6.687772,,6.173328,,5.14444,,3.601108,4.115552,4.115552,,,,2.57222,,4.115552,,,,,,,
2018-03-28T18:00:00,,7.71666,,6.687772,,6.687772,6.687772,6.687772,,6.687772,,,7.71666,7.71666,,5.658884,,4.629996,,3.086664,3.601108,3.601108,,,,3.086664,,,,,,,,
2018-03-29T00:00:00,5.14444,,5.14444,,5.14444,,4.629996,4.629996,4.115552,,4.115552,,,5.14444,5.14444,,4.629996,,4.629996,,3.601108,4.115552,4.115552,,,,3.086664,,4.629996,,,,,
2018-03-29T06:00:00,3.086664,4.629996,,4.629996,,4.115552,,3.601108,3.601108,4.629996,,4.629996,,,4.629996,4.629996,,4.115552,,4.115552,,4.115552,,,,,,2.57222,,4.115552,,,,
2018-03-29T12:00:00,8.745548,8.745548,8.745548,,8.745548,,6.173328,,7.71666,5.658884,7.71666,,7.71666,,,6.687772,6.687772,,6.173328,,6.687772,,5.14444,6.173328,6.173328,,,,4.115552,,4.629996,,,
2018-03-29T18:00:00,6.173328,9.259992,9.259992,9.259992,,9.259992,,7.71666,,8.231104,6.173328,7.202216,,7.202216,,,7.202216,7.202216,,5.658884,,7.202216,,5.658884,6.687772,6.687772,,,,3.601108,,4.115552,,
2018-03-30T00:00:00,7.71666,7.71666,8.745548,7.202216,7.202216,,8.745548,,6.687772,,7.202216,4.629996,3.086664,,3.086664,,,5.658884,5.658884,,5.658884,,5.14444,,4.629996,5.658884,5.658884,,,,3.086664,,,
2018-03-30T06:00:00,,7.202216,7.202216,7.71666,6.687772,6.687772,,7.202216,,5.658884,,6.687772,4.115552,3.601108,,3.601108,,,6.173328,6.173328,,6.173328,,4.629996,,,5.14444,5.14444,,,,4.115552,,
2018-03-30T12:00:00,7.71666,,7.71666,7.71666,7.71666,7.71666,6.687772,,7.202216,,5.658884,,5.14444,4.115552,7.202216,,7.202216,,,7.71666,7.71666,,5.658884,,6.173328,,5.658884,6.687772,6.687772,,,,,
2018-03-30T18:00:00,8.745548,8.745548,,8.745548,8.745548,9.259992,9.259992,7.71666,,8.745548,,6.173328,,5.658884,4.629996,6.687772,,6.687772,,,7.202216,7.202216,,7.71666,,7.71666,,5.14444,6.173328,6.173328,,,,
2018-03-31T00:00:00,,6.687772,6.687772,,6.687772,6.687772,7.202216,7.202216,5.658884,,6.173328,,4.629996,,3.601108,3.601108,6.173328,,6.173328,,,,,,7.202216,,7.202216,,4.629996,5.14444,5.14444,,,
2018-03-31T06:00:00,5.14444,,5.14444,5.14444,,5.14444,5.14444,5.658884,5.658884,3.601108,,4.115552,,4.115552,,,,5.14444,,5.14444,,,7.202216,7.202216,,7.202216,,6.173328,,4.115552,4.629996,4.629996,,
2018-03-31T12:00:00,5.14444,5.14444,,7.202216,7.202216,,5.658884,5.658884,5.658884,5.658884,3.086664,,4.115552,,3.086664,,3.086664,3.086664,3.086664,,3.086664,,,6.687772,6.687772,,6.173328,,4.115552,,3.601108,4.115552,4.115552,
2018-03-31T18:00:00,2.057776,4.115552,4.115552,,4.629996,4.629996,,3.601108,3.601108,4.115552,4.115552,2.57222,,2.57222,,1.543332,,2.057776,2.057776,2.057776,,2.057776,,,6.173328,6.173328,,5.658884,,3.601108,,4.115552,3.601108,3.601108
2018-04-01T00:00:00,1.028888,1.543332,1.543332,1.543332,,,,,,,,,2.057776,,2.57222,,1.543332,,1.543332,1.543332,1.543332,,1.543332,,,4.115552,4.115552,,4.115552,,2.057776,,,
2018-04-01T06:00:00,0,0.514444,0.514444,0.514444,,,1.543332,1.543332,,1.028888,1.028888,1.543332,1.543332,2.57222,,1.543332,,2.057776,,2.057776,2.057776,2.057776,,2.057776,,,2.57222,2.57222,,,,,,2.057776
2018-04-01T12:00:00,3.086664,3.086664,3.086664,4.115552,4.115552,3.601108,,3.086664,3.086664,,3.086664,3.086664,3.086664,3.086664,2.57222,,4.115552,,2.057776,,2.057776,2.057776,1.543332,,1.543332,,,4.115552,4.115552,,4.115552,,4.629996,
2018-04-01T18:00:00,3.086664,4.115552,4.115552,4.115552,4.629996,4.629996,3.086664,,4.629996,4.629996,,3.601108,3.601108,3.086664,3.086664,2.057776,,3.086664,,2.57222,,2.57222,2.57222,2.057776,,2.057776,,,4.629996,4.629996,,4.629996,,5.14444
2018-04-02T00:00:00,4.115552,4.115552,4.115552,3.601108,3.601108,4.115552,4.115552,3.601108,,4.115552,4.115552,,2.057776,2.057776,2.57222,2.57222,1.543332,,2.57222,,2.057776,,3.086664,3.086664,2.57222,,2.57222,,,,,,,
2018-04-02T06:00:00,,3.086664,3.086664,3.086664,4.629996,3.086664,3.086664,3.086664,3.086664,,4.629996,4.629996,,1.543332,1.543332,1.543332,1.543332,1.543332,,1.543332,,1.543332,,2.57222,2.57222,2.057776,,2.057776,,,3.601108,3.601108,,3.086664
2018-04-02T12:00:00,5.14444,,5.14444,5.658884,5.658884,5.658884,4.115552,5.658884,5.658884,4.115552,,4.629996,4.629996,,1.028888,1.028888,3.086664,3.086664,2.57222,,3.086664,,3.601108,,4.629996,4.629996,3.601108,,3.601108,,,5.658884,5.658884,
2018-04-02T18:00:00,6.173328,6.173328,,6.173328,6.173328,6.173328,6.173328,5.14444,6.173328,6.173328,5.14444,,5.658884,5.658884,,1.028888,1.028888,2.57222,2.57222,2.057776,,3.086664,,3.086664,,4.115552,4.115552,4.115552,,4.115552,,,6.173328,
2018-04-03T00:00:00,3.086664,3.601108,3.601108,,3.601108,3.086664,3.086664,3.086664,3.086664,3.086664,3.086664,3.086664,,3.086664,3.086664,,2.57222,2.57222,,,1.028888,,2.57222,,2.57222,,3.601108,3.601108,2.57222,,2.57222,,,3.086664
2018-04-03T06:00:00,,2.057776,2.057776,2.057776,,2.057776,2.57222,2.57222,2.57222,1.543332,,,2.057776,,,,,2.057776,2.057776,,,1.028888,,2.57222,,2.057776,,3.086664,3.086664,,,,,
2018-04-03T12:00:00,6.687772,,6.687772,7.202216,7.202216,,6.687772,7.202216,7.202216,7.202216,6.687772,7.202216,7.202216,6.687772,,7.71666,7.71666,,5.658884,5.658884,5.658884,5.658884,3.086664,,2.57222,,2.057776,,,,,,,
2018-04-03T18:00:00,8.231104,7.71666,,7.71666,9.259992,9.259992,,8.231104,7.71666,7.71666,7.71666,7.202216,6.173328,6.173328,5.658884,,7.202216,7.202216,,5.14444,5.14444,4.629996,4.629996,3.601108,,3.086664,,2.57222,,3.086664,3.086664,,,
2018-04-04T00:00:00,,4.629996,4.629996,,4.629996,5.14444,5.14444,,5.14444,6.173328,6.173328,6.173328,5.14444,4.629996,4.629996,4.115552,,4.629996,4.629996,,4.115552,4.115552,4.115552,4.115552,3.086664,,3.086664,,2.057776,,2.57222,2.57222,,
2018-04-04T06:00:00,6.173328,,6.173328,6.173328,,6.173328,6.173328,6.173328,,6.687772,7.202216,7.202216,7.202216,5.658884,5.658884,5.658884,5.14444,,,,,4.629996,4.629996,4.629996,4.629996,3.601108,,,,1.543332,,,,
2018-04-04T12:00:00,12.346656,10.803324,,10.28888,8.231104,,8.231104,9.774436,9.774436,,8.745548,8.745548,8.745548,8.745548,7.202216,7.202216,7.202216,6.687772,,6.173328,6.173328,,6.173328,6.173328,6.173328,6.173328,4.115552,,4.629996,,2.57222,,,
2018-04-04T18:00:00,11.832212,11.832212,10.28888,,9.774436,7.71666,,7.71666,8.745548,8.745548,,8.231104,8.745548,8.745548,7.71666,6.687772,7.71666,7.71666,5.658884,,7.71666,7.71666,,5.658884,5.658884,5.658884,5.658884,3.601108,,4.115552,,3.086664,,
2018-04-05T00:00:00,5.658884,7.202216,7.202216,6.173328,,5.658884,6.173328,,6.173328,5.658884,5.658884,,6.687772,7.202216,7.202216,5.658884,5.14444,5.658884,5.658884,5.14444,,5.658884,5.658884,,3.601108,3.601108,4.629996,4.629996,2.057776,,2.57222,,2.057776,
2018-04-05T06:00:00,3.601108,3.601108,4.115552,4.115552,3.601108,,4.115552,4.629996,,4.629996,5.14444,5.14444,,4.629996,4.629996,4.629996,4.629996,4.115552,,,3.601108,,5.658884,5.658884,,3.601108,3.601108,3.086664,3.086664,2.057776,,3.086664,,
2018-04-05T12:00:00,3.086664,3.086664,3.086664,4.115552,4.115552,,,4.115552,3.086664,,3.086664,5.14444,5.14444,,3.086664,3.086664,3.086664,3.086664,3.601108,4.115552,4.115552,3.086664,,4.115552,4.115552,,3.086664,3.086664,4.115552,4.115552,,,4.629996,
2018-04-05T18:00:00,,2.057776,2.057776,2.057776,2.57222,2.57222,2.057776,,2.57222,1.543332,,1.543332,2.57222,2.57222,,2.057776,1.543332,1.543332,1.543332,1.543332,1.543332,1.543332,1.543332,,2.57222,2.57222,,2.057776,2.057776,4.629996,4.629996,2.057776,,
2018-04-06T00:00:00,2.057776,,2.057776,2.057776,2.057776,2.057776,2.057776,2.057776,,2.57222,2.057776,,2.057776,3.086664,3.086664,,,2.57222,2.57222,2.57222,,,,1.543332,,2.57222,2.57222,,2.057776,2.057776,4.115552,4.115552,,
2018-04-06T06:00:00,,2.57222,,1.543332,1.543332,1.543332,1.543332,1.543332,1.543332,,1.543332,1.543332,,1.543332,2.57222,2.57222,,1.543332,1.028888,1.028888,1.028888,0.514444,,,,,,,,,,,,
2018-04-06T12:00:00,7.71666,,7.71666,,5.14444,5.14444,5.14444,5.14444,5.14444,4.629996,,4.629996,4.629996,,4.629996,6.173328,6.173328,,5.14444,4.629996,4.629996,4.629996,4.115552,4.629996,4.629996,4.115552,,5.658884,5.658884,,4.115552,4.115552,7.202216,6.173328
2018-04-06T18:00:00,,9.259992,,9.259992,,4.629996,4.629996,4.629996,6.173328,6.173328,5.14444,,5.658884,5.14444,,5.14444,6.687772,6.687772,,4.629996,5.658884,5.658884,5.658884,5.14444,4.115552,4.115552,3.601108,,4.629996,4.629996,,4.629996,4.629996,6.173328
2018-04-07T00:00:00,5.14444,,5.14444,,5.14444,,5.14444,5.14444,5.14444,5.14444,5.14444,3.086664,,3.086664,3.086664,,3.086664,4.629996,4.629996,,4.629996,4.629996,4.629996,4.629996,,,,3.601108,,4.115552,4.115552,,2.57222,2.57222
2018-04-07T06:00:00,,4.629996,,4.115552,,4.115552,,6.173328,6.173328,6.173328,5.14444,5.14444,3.601108,,3.601108,2.057776,,2.057776,6.173328,6.173328,,,4.115552,4.115552,4.115552,3.601108,4.115552,4.115552,,,4.629996,4.629996,,
2018-04-07T12:00:00,7.202216,,7.202216,,8.745548,,8.745548,,11.317768,10.28888,10.28888,11.832212,11.832212,6.687772,,5.14444,4.629996,,4.629996,6.687772,6.687772,,6.687772,7.202216,7.202216,7.202216,5.658884,7.202216,7.202216,7.71666,,10.28888,10.28888,
2018-04-07T18:00:00,,4.629996,,8.745548,,9.259992,,9.259992,,10.28888,11.317768,11.317768,11.317768,11.317768,6.173328,,4.629996,5.14444,,5.14444,6.173328,6.173328,,6.173328,7.71666,7.71666,7.71666,5.14444,,,7.202216,,10.803324,
2018-04-08T00:00:00,9.259992,,9.259992,,9.259992,,7.202216,,7.202216,,6.687772,7.71666,7.71666,5.658884,5.658884,5.14444,,4.115552,,,,,,,5.14444,4.115552,4.115552,4.115552,5.14444,7.71666,7.71666,5.14444,,6.173328
2018-04-08T06:00:00,,6.687772,,8.745548,,7.71666,,6.173328,,6.173328,,5.14444,5.14444,5.14444,5.14444,5.14444,,,5.14444,5.14444,,5.14444,,,,5.14444,5.658884,5.658884,5.658884,,7.202216,7.202216,,
2018-04-08T12:00:00,8.231104,,5.14444,,7.202216,,6.687772,,6.687772,,6.687772,,4.629996,4.629996,4.629996,4.629996,4.629996,4.629996,,4.629996,4.629996,,4.629996,5.658884,5.658884,,4.629996,,,,5.658884,,,
2018-04-08T18:00:00,,4.115552,,3.086664,,4.115552,,5.14444,,4.115552,,3.086664,,2.057776,2.057776,2.057776,2.57222,3.086664,3.086664,,2.57222,2.057776,,2.057776,4.115552,4.115552,,,4.629996,4.629996,4.629996,4.115552,6.173328,6.173328
2018-04-09T00:00:00,3.086664,,3.086664,,3.086664,,3.086664,,3.086664,,5.14444,,4.115552,,3.601108,3.601108,3.601108,4.115552,4.629996,4.629996,,4.115552,3.601108,,3.601108,5.14444,5.14444,,4.629996,6.173328,6.173328,6.173328,,
2018-04-09T06:00:00,,3.601108,,4.115552,,4.115552,,4.629996,,4.115552,,4.629996,,,,,,,,,,,,3.086664,,3.086664,4.629996,4.629996,,5.14444,7.202216,7.202216,7.202216,
2018-04-09T12:00:00,,,4.629996,,5.14444,,4.629996,,4.115552,,5.14444,,5.658884,,3.601108,,,,,4.115552,4.115552,3.601108,,4.115552,4.629996,,4.629996,6.173328,6.173328,,6.173328,7.202216,7.202216,6.173328
2018-04-09T18:00:00,,,,4.115552,,4.115552,,4.115552,,4.629996,,4.115552,,5.658884,,3.601108,,,,,3.601108,3.601108,3.086664,,4.115552,5.14444,,5.14444,5.658884,5.658884,,,7.71666,7.71666
2018-04-10T00:00:00,,,,,3.086664,,3.086664,,3.086664,,3.086664,,2.57222,,4.115552,,4.115552,,3.086664,3.086664,3.086664,2.57222,2.57222,2.057776,,3.601108,,,,4.629996,4.629996,,,5.658884
2018-04-10T06:00:00,,,,,,3.086664,,2.057776,,3.086664,,4.115552,,3.086664,,3.086664,,3.086664,,,,,3.601108,3.601108,3.086664,,3.086664,,,,,,,
2018-04-10T12:00:00,5.658884,,,,,,4.629996,,3.086664,,2.57222,,,,3.601108,,4.629996,,3.601108,,6.173328,6.173328,6.173328,5.14444,5.14444,4.629996,,4.115552,5.14444,,5.14444,6.173328,6.173328,
2018-04-10T18:00:00,,4.115552,,,,,,3.086664,,,,2.57222,,3.086664,,3.086664,,4.115552,,4.115552,,6.687772,6.687772,6.687772,6.687772,6.687772,5.14444,,5.14444,4.629996,,4.629996,5.658884,
2018-04-11T00:00:00,2.57222,,1.543332,,,,,,1.543332,,1.543332,,2.057776,,,,2.57222,,,,3.601108,,6.173328,6.173328,6.173328,5.14444,5.14444,4.629996,,4.629996,4.629996,,4.629996,3.086664
2018-04-11T06:00:00,,,,2.57222,,,,,,2.57222,,2.057776,,3.086664,,4.629996,,4.115552,,,,4.629996,,,,,,,,,5.658884,5.14444,,
2018-04-11T12:00:00,4.115552,,4.115552,,3.086664,,,,,,4.629996,,,,2.57222,,4.115552,,4.629996,,4.629996,,4.115552,,3.601108,3.601108,3.601108,4.115552,4.115552,3.601108,,,,
2018-04-11T18:00:00,,3.086664,,3.086664,,2.057776,,,,,,2.57222,,1.543332,,,,,,3.086664,,4.115552,,3.601108,,,,,2.57222,3.086664,3.086664,,,
2018-04-12T00:00:00,4.629996,,3.086664,,2.57222,,,,,,,,2.57222,,,,,,2.57222,,2.57222,,2.57222,,2.57222,,,,,,,,,
2018-04-12T06:00:00,,3.086664,,2.57222,,2.057776,,,,,,,,2.057776,,,,,,2.57222,,2.057776,,2.57222,,2.57222,,,,,,,,
2018-04-12T12:00:00,5.14444,,5.658884,,4.115552,,6.173328,,5.14444,,,,,,4.115552,,4.115552,,4.629996,,5.658884,,5.14444,,5.658884,,5.14444,,4.629996,4.629996,4.629996,,,
2018-04-12T18:00:00,,4.629996,,6.173328,,5.14444,,6.687772,,4.115552,,,,,,4.629996,,3.601108,,5.14444,,6.173328,,5.658884,,6.173328,,6.173328,,,,,,
2018-04-13T00:00:00,5.658884,,3.086664,,4.115552,,3.601108,,4.115552,,3.601108,,,,,,3.601108,,,,,,4.629996,,4.115552,,5.14444,,5.658884,,3.601108,3.601108,3.601108,
2018-04-13T06:00:00,,2.57222,,2.57222,,3.086664,,3.086664,,2.57222,,3.086664,,,,,,4.115552,,3.086664,,,,,,,,3.601108,,4.115552,,,,
2018-04-13T12:00:00,6.687772,,7.202216,,6.173328,,7.202216,,5.14444,,7.202216,,5.14444,,,,,,5.14444,,5.14444,,4.629996,,4.629996,,4.629996,,4.629996,,3.601108,,,
2018-04-13T18:00:00,,6.687772,,6.173328,,6.687772,,7.71666,,5.658884,,8.231104,,5.658884,,,,,,,,4.115552,,4.115552,,,,4.115552,,4.115552,,4.115552,,
2018-04-14T00:00:00,7.71666,,4.629996,,5.658884,,4.629996,,6.173328,,4.115552,,5.658884,,5.14444,,,,,,4.629996,,5.14444,,4.629996,,5.658884,,4.629996,,5.14444,,,
2018-04-14T06:00:00,3.601108,5.14444,,4.115552,,4.115552,,3.601108,,4.629996,,3.601108,,4.629996,,4.115552,,,,,,5.14444,,4.115552,,,,4.629996,,4.115552,,4.629996,,
2018-04-14T12:00:00,7.202216,7.202216,7.71666,,6.687772,,7.71666,,6.687772,,6.173328,,5.658884,,6.173328,,5.658884,,,,,,5.658884,,7.202216,,6.687772,,7.71666,,5.14444,,6.687772,
2018-04-14T18:00:00,5.658884,8.231104,8.231104,8.745548,,7.202216,,7.202216,,6.173328,,7.202216,,6.687772,,6.687772,,6.687772,,,,,,,,6.687772,,,,7.202216,,4.629996,,
2018-04-15T00:00:00,7.202216,7.202216,6.687772,6.687772,8.745548,,6.687772,,6.173328,,,,,,,,5.658884,,,,,,,,5.14444,,,,,,5.658884,,,
2018-04-15T06:00:00,,7.202216,7.71666,7.202216,7.202216,,,5.14444,,,,,,,,,,6.687772,,7.202216,,,,,,5.658884,,5.658884,,5.658884,,,,
2018-04-15T12:00:00,13.889988,,13.889988,11.317768,11.317768,11.317768,12.346656,,9.259992,,10.803324,,10.28888,,10.28888,,9.259992,,9.259992,,9.259992,,,,,,7.71666,,6.687772,,,,,
2018-04-15T18:00:00,13.889988,13.375544,,12.346656,12.346656,12.346656,12.346656,14.918876,,9.774436,,10.28888,,9.774436,,10.803324,,10.28888,,8.231104,,8.745548,,,,,,7.202216,,7.202216,,,,
2018-04-16T00:00:00,9.259992,9.259992,9.259992,,8.745548,8.745548,8.745548,8.745548,10.28888,,8.231104,,9.259992,,7.71666,,8.745548,,7.71666,,7.71666,,7.202216,,,,,,6.173328,,,,,
2018-04-16T06:00:00,10.803324,10.803324,10.28888,,,,8.231104,8.231104,8.231104,9.259992,,7.202216,,,,,,,,,,7.202216,,,,,,,,6.173328,,,,
